"Lab","Sample","X14C.BP","X14C.Age.SD","Lab.Error","Age.Span","Uncorrected.14C","Uncorrected.14C.SD","d13C","d13C.SD","Delta.R","Delta.R.SD","Marine.Carbon","Description","CalCurve","Depth","mean","lower","upper","median","max","error","percent"
"mejillones","mejillones-1","825","30","1","","","","-19.2","","82","27","100","1","3","11",203,283,122,203,210,88,68
"mejillones","mejillones-2","865","30","1","","","","-19.2","","82","27","100","2","3","12",231,312,145,234,260,115,68
"mejillones","mejillones-3","845","30","1","","","","-19.9","","82","27","100","3","3","14.5",216,296,135,217,250,115,68
"mejillones","mejillones-4","865","30","1","","","","-19.7","","82","27","100","4","3","18",231,312,145,234,260,115,68
"mejillones","mejillones-5","925","30","1","","","","-18.9","","82","27","100","5","3","21.5",323,406,246,320,300,106,68
"mejillones","mejillones-6","900","30","1","","","","-20.2","","82","27","100","6","3","25.5",287,375,198,286,280,95,68
"mejillones","mejillones-7","970","30","1","","","","-18.4","","82","27","100","7","3","27",354,425,285,354,330,95,68
"mejillones","mejillones-8","960","30","1","","","","-19.1","","82","27","100","8","3","34",348,420,278,347,320,100,68
"mejillones","mejillones-9","935","30","1","","","","-21.4","","82","27","100","9","3","35.5",330,409,256,328,310,99,68
"mejillones","mejillones-10","1045","30","1","","","","-20","","82","27","100","10","3","38.5",416,483,345,418,430,85,68
"mejillones","mejillones-11","1025","30","1","","","","-21.5","","82","27","100","11","3","40",396,463,326,397,420,94,68
"mejillones","mejillones-12","1090","30","1","","","","-19.9","","82","27","100","12","3","42",459,522,391,460,470,79,68
"mejillones","mejillones-13","1060","30","1","","","","-21.2","","82","27","100","13","3","43.5",431,497,360,433,440,80,68
"mejillones","mejillones-14","1165","30","1","","","","-19.8","","82","27","100","14","3","45",515,578,454,515,510,68,67
"mejillones","mejillones-15","1135","30","1","","","","-21","","82","27","100","15","3","46",491,551,428,492,500,72,68
"mejillones","mejillones-16","1070","30","1","","","","-25.4","","82","27","100","16","3","47",441,506,371,443,450,79,68
"mejillones","mejillones-17","1060","30","1","","","","-19.7","","82","27","100","17","3","53.5",431,497,360,433,440,80,68
"mejillones","mejillones-18","1055","30","1","","","","-19.5","","82","27","100","18","3","54",427,493,356,429,440,84,68
