"","Lab","Sample","X14C.BP","X14C.Age.SD","Lab.Error","Age.Span","Uncorrected.14C","Uncorrected.14C.SD","d13C","d13C.SD","Delta.R","Delta.R.SD","Marine.Carbon","Description","CalCurve","Depth","mean","lower","upper","median","percent","max","error"
"2","mejillones","mejillones-1","825","30","1","","","","-19.2","","59","23","100","1","3","11",218.961672069497,297,138,218,67.8194,250,112
"3","mejillones","mejillones-2","865","30","1","","","","-19.2","","59","23","100","2","3","12",265.246762012012,346,170,258,67.9626,280,110
"4","mejillones","mejillones-3","845","30","1","","","","-19.9","","59","23","100","3","3","14.5",241.603287937921,314,148,231,67.8707,260,112
"5","mejillones","mejillones-4","865","30","1","","","","-19.7","","59","23","100","4","3","18",265.246762012012,346,170,258,67.9626,280,110
"6","mejillones","mejillones-5","925","30","1","","","","-18.9","","59","23","100","5","3","21.5",330.775350950134,413,269,341,67.736,310,103
"7","mejillones","mejillones-6","900","30","1","","","","-20.2","","59","23","100","6","3","25.5",305.493200434088,403,245,324,67.7152,300,103
"8","mejillones","mejillones-7","970","30","1","","","","-18.4","","59","23","100","7","3","27",368.487139799715,438,303,370,67.7536,350,88
"9","mejillones","mejillones-8","960","30","1","","","","-19.1","","59","23","100","8","3","34",360.740634623223,431,295,363,67.8978,350,81
"10","mejillones","mejillones-9","935","30","1","","","","-21.4","","59","23","100","9","3","35.5",339.893156004398,418,277,348,67.9538,320,98
"11","mejillones","mejillones-10","1045","30","1","","","","-20","","59","23","100","10","3","38.5",426.678189674135,503,370,436,67.6649,450,80
"12","mejillones","mejillones-11","1025","30","1","","","","-21.5","","59","23","100","11","3","40",410.261766448225,486,350,418,67.805,430,80
"13","mejillones","mejillones-12","1090","30","1","","","","-19.9","","59","23","100","12","3","42",467.565291844141,537,414,476,67.9275,480,66
"14","mejillones","mejillones-13","1060","30","1","","","","-21.2","","59","23","100","13","3","43.5",439.734912285767,516,386,451,67.7315,460,74
"15","mejillones","mejillones-14","1165","30","1","","","","-19.8","","59","23","100","14","3","45",536.354512074735,602,484,543,67.6068,530,72
"16","mejillones","mejillones-15","1135","30","1","","","","-21","","59","23","100","15","3","46",510.410033553829,568,446,507,67.7407,510,64
"17","mejillones","mejillones-16","1070","30","1","","","","-25.4","","59","23","100","16","3","47",448.79077529585,524,396,460,67.9078,470,74
"18","mejillones","mejillones-17","1060","30","1","","","","-19.7","","59","23","100","17","3","53.5",439.734912285767,516,386,451,67.7315,460,74
"19","mejillones","mejillones-18","1055","30","1","","","","-19.5","","59","23","100","18","3","54",435.311397960099,512,381,446,67.6742,460,79
