Lab;Sample;14C BP ;14C Age SD;Lab Error;Age Span;Uncorrected 14C;Uncorrected 14C SD;d13C;d13C SD;Delta R;Delta R SD;Marine Carbon;Description;CalCurve;Depth
code;code;(CRA);years;or added variance f**2;years;date;years;per mil;years;years;years;percentage;optional;Number;arbitrary units
mejillones;mejillones-1;825;30;1;;;;-19.2;;59;23;100;1;3;11
mejillones;mejillones-2;865;30;1;;;;-19.2;;59;23;100;2;3;12
mejillones;mejillones-3;845;30;1;;;;-19.9;;59;23;100;3;3;14.5
mejillones;mejillones-4;865;30;1;;;;-19.7;;59;23;100;4;3;18
mejillones;mejillones-5;925;30;1;;;;-18.9;;59;23;100;5;3;21.5
mejillones;mejillones-6;900;30;1;;;;-20.2;;59;23;100;6;3;25.5
mejillones;mejillones-7;970;30;1;;;;-18.4;;59;23;100;7;3;27
mejillones;mejillones-8;960;30;1;;;;-19.1;;59;23;100;8;3;34
mejillones;mejillones-9;935;30;1;;;;-21.4;;59;23;100;9;3;35.5
mejillones;mejillones-10;1045;30;1;;;;-20;;59;23;100;10;3;38.5
mejillones;mejillones-11;1025;30;1;;;;-21.5;;59;23;100;11;3;40
mejillones;mejillones-12;1090;30;1;;;;-19.9;;59;23;100;12;3;42
mejillones;mejillones-13;1060;30;1;;;;-21.2;;59;23;100;13;3;43.5
mejillones;mejillones-14;1165;30;1;;;;-19.8;;59;23;100;14;3;45
mejillones;mejillones-15;1135;30;1;;;;-21;;59;23;100;15;3;46
mejillones;mejillones-16;1070;30;1;;;;-25.4;;59;23;100;16;3;47
mejillones;mejillones-17;1060;30;1;;;;-19.7;;59;23;100;17;3;53.5
mejillones;mejillones-18;1055;30;1;;;;-19.5;;59;23;100;18;3;54
